"store","id","original_ean","original_name","original_description","current_price","promo_price"
Casa Ley,f9d445c2-b062-4e1a-af96-8c762284dfc8,"7501349028791",Aciclovir 400mg 1 pz,"",$110.60,$55.30
Casa Ley,"2304943f-32c4-4764-8a5c-f45948e7bb6f","8437005373099",Vino tinto pruno  750 ml,"",$529.00,$0.00
Casa Ley,e80828dc-cf21-405f-ba96-9ede774e21ef,"0655244028886",Rompecabeza tin forma avengers ironman novelty  1 pz,"",$189.00,$0.00
Casa Ley,"091ea6fd-6630-4825-9720-c8a344464570","3337875597203",Agua micelar limp 295ml cerave 1 pz,"",$305.00,$244.00
Casa Ley,"56606aa1-ae23-435b-9353-f7247f1d02ff","7501003301628",Conserva fresa balance mccormick 235 gr,"",$36.50,$0.00
Casa Ley,"00c27aab-88dd-46de-9370-c69e0809d58f","7501072214713",Alimento gato salmon one 2 kg,"",$306.90,$0.00
Casa Ley,"2c465f88-229f-4b2c-b3fb-00066968062f","7501003306487",Conserva piña linaza balance mccormick 235 gr,"",$35.90,$0.00
Casa Ley,"1daba30c-2527-4983-a490-169cc20baf0f","3433422404403",Agua termal la roche posay 1 pz,"",$425.00,$340.00
Casa Ley,"9f5bd9d1-6b6a-453d-b7d3-73b95283bba6","2050000129162",Tequila el jimador reposado 700 ml,"",$305.00,$245.00
Casa Ley,"40562364-79d2-40c5-a661-84fb78292504","7501070613068",Andantol jalea sanfer 40 gr,"",$317.00,$202.88
Casa Ley,"950d2014-1cbb-480a-839a-03c3da10e47a","7501072214973",Alimento gato super nutriente carne one  85 gr,"",$19.00,$0.00
Casa Ley,"5df69531-49ed-4b39-ab9d-a22591af08c3","7501003301611",Conserva zarzamora balance mccormick 235 gr,"",$36.50,$0.00
Casa Ley,"0e7cd2fa-d58f-4099-acb6-21235ab3d98a","7503021084033",Aceite comestible ext virg arbequina olivo del cielo 250 ml,"",$109.00,$0.00
Casa Ley,"925d0d39-2936-4f02-a401-0fe634988139","3337875545891",Anthelios 50ml la roche posay 1 pz,"",$559.00,$447.20
