"store","id","original_ean","original_name","original_description","current_price","promo_price"
Soriana,"10ddd037-32ee-4e05-86f4-92336d1cecac","7501064194504",Cerveza Ultra Michelob Clara 6 Pack en Lata de 355ml,"",$115.00,$0.00
Soriana,"789c51ea-5198-4ea1-ba58-1e11073a7822","0783320473708",Perfume Bvlgari Au The Bleu 150Ml Edc Spray para Dama,"","$1,429.00",$0.00
Soriana,e290f51a-9d92-4f4d-8f17-5d24342232e8,"7503034941354",Cerveza Ultra Michelob Cuarto 6 Pack Botella de 210ml,"",$78.00,$0.00
Soriana,"22a4fd54-25a5-45bf-a4e4-bd54da0c030c","7501047411314",Crema Hidratante Vitalife Antibacterial Ap,"",$55.00,$0.00
Soriana,"51838bfc-6223-47f6-be06-57b944853b5c","0099053053484",Supresor De Picos Koblenz Ss-2000 Usb 6 Contactos 2X Usb 2000 Joules,"",$479.00,$0.00
Soriana,"7ec36bbd-44d6-40a8-918c-ec223f2e73e7","7500326308437",GHEE TU TIPO NATURAL 200 GR P,"",$125.00,$0.00
Soriana,f75d06a8-b730-4cbe-aaf0-b68c5deee834,"7501061696988",Cerveza Indio Lata 473 ml,"",$20.00,$0.00
Soriana,e2a8f2df-d497-4052-bd5c-f1bd50dec37d,"0215600000002",Pan para Hamburguesa Jumbo 6 Piezas,"",$38.00,$0.00
Soriana,b60863fd-3ab2-4dfd-9013-9466de872302,"7501064194146",Cerveza Victoria 710 ml Lata,"",$35.20,$0.00
Soriana,"9851887d-312e-40b1-9c79-2184b4c6f539","7502251481582",Silica Gotas De Seda Aqua Net 100 ml,"",$39.90,$0.00
Soriana,"28bbf0bb-715e-47ca-9979-8084786c7ea9","7503034941163",Cerveza Negra Modelo 4 Pack Lata 473 ml,"",$108.00,$0.00
Soriana,"711df765-2385-48e8-9519-d012e6c9c321","7503024416572",Cooler Strongbow Red Berries 330 ml,"",$24.50,$0.00
Soriana,bd35338f-b975-47a7-953b-494ff2b605b3,"0744607002707",Coolers New Mix Vampiro 473 ml,"",$31.50,$0.00
Soriana,"8f797be0-ffaa-4d87-8d27-b2177c0a9ed9","7501088513787",Norutec 20 mg Tab 14 Pzas,"",$749.00,$0.00
Soriana,"40ce947c-62dc-4084-809a-37d30812ed0f","7501118166938",TAZA MINNIE DISNEY PIPETA SUAVE Y TAPA I,"",$129.00,$0.00
Soriana,"2308da11-7778-4c52-8aa1-593615bddadd","7500326495816",Cerveza Colombo Porter Botella de 355 ml,"",$53.90,$0.00
Soriana,df307b85-d0ef-4f9c-9c55-813b661faf2b,"7501064193323",Cerveza Corona Light 12 Pack Botella 355ml,"",$222.00,$0.00
Soriana,"594dac94-40c4-4d4e-8faf-bd486aafc70e","8422028579016",Pepino Bot 680 Gr La Gitana,"",$74.90,$0.00
Soriana,fd7f7458-33c0-4bc0-b690-1c7d0095fa4e,"7506306252196",Ponds masc hydra active 20x26g,"",$239.00,$0.00
Soriana,"3dc326ac-1e38-4725-a58a-36b759ebe0ed","7502212172344",Sobre Plastico Vertical Tamaño Oficio Barrilito,"",$54.90,$0.00
Soriana,"0ec0e9cc-b907-4fd3-9785-9fe9d08d4fdb","7501032485764",Caribe Cooler Tamarindo Spicy 300 ml,"",$25.90,$0.00
Soriana,db529b65-e0e9-4a2e-8a8d-d581431df846,"7501061699033",Cerveza Bohemia Weizen 6 Pack Botella 355 ml,"",$120.00,$0.00
Soriana,b78f2480-8a48-4d62-8531-da1e23dc20e3,"5000456010825",Forxiga 10 mg Oral 28 Tabletas,"","$1,555.00",$0.00
Soriana,"9d4f2ca4-8052-4501-8549-4d3ac8110efc","0026102482681",Copa Transparente Luminarc,"",$56.00,$0.00
Soriana,"9dd488a6-1131-42a3-b603-7006d3e8e03b","0037195200229",Copa Nieve 138 Ml 2181 Medio V Vitrocris,"",$99.00,$0.00
Soriana,"17158624-8256-4852-ba3a-6f439444f789","0675873002057",Sukrol Hombre Suple Alim Tab con 30,"",$173.00,$0.00
Soriana,"9adddfb2-81f4-4b71-8998-61bd780b94dd","7506192509602",Bebida Alcohólica Premezclada Cooler Kool Citrus 355 ml,"",$20.90,$0.00
Soriana,f2bbd246-1454-4429-899e-b41953702482,"7503024416589",Sidra De Manzana Strongbow Rosé Botella 330 ml,"",$24.50,$0.00
Soriana,"25559ea3-329f-49f7-956f-08fe9dc22838","0744607696012",Cooler Skyy Blue Citrus 275 ml,"",$29.90,$0.00
Soriana,"63b11090-ec44-4521-b0fa-e34b41558855","7502241940945",Singulair 10 mg Cmpr 30,"","$1,383.00",$0.00
Soriana,"2a5aeb76-daa2-40e2-9885-63c68f67db95","7501076109725",Sal con Cebolla Escosa 105 g,"",$15.50,$0.00
Soriana,"8a732186-2771-4010-ad27-7ef9d74fd57d","7501002204258",Queso Americano Zwan 288 g,"",$62.50,$0.00
Soriana,a1ebdc55-e419-410b-8733-abeb2c5ce9e5,"7502253072023",Fórmula Infantil Progress Gold 1 a 3 años Lata 900 g,"",$309.00,$0.00
Soriana,b494cac8-00e4-4f13-b6f2-966bfa6dc692,"7501369815852",Sal Sales Del Valle Bajo Sodio 300g Bote,"",$67.50,$0.00
Soriana,"2d824e40-4cc3-4da4-85ab-f61638309e94","0250080000005",Huachinango del Golfo Kg,"",$299.00,$0.00
Soriana,"64fde156-d521-4958-a61b-6be3b015cde1","7502236172078",Cafe Molido Campo Vivo 250 Gramo Paquete,"",$87.90,$0.00
Soriana,"140f1ea2-267e-46bc-b6a1-6f54f3efedf8","0210010000000",Carpa Fresca Kg,"",$79.90,$0.00
Soriana,"928526b4-2b4a-430c-96c8-0c44a5403d6f","7501100089108",Topamax 100mg Tab 20,"","$1,529.00",$0.00
Soriana,a8780a15-7f80-4747-aebf-d1c1eb40df0e,"7500462065836",Salsa Habanera La Ingrata 250gr Botella,"",$22.90,$0.00
Soriana,"2a58d475-0d58-4fc6-8702-2bc4a325bef1","7500525270207","Nodrim Colág/Vit A,E/Biot/Selenio 70cap","",$113.00,$0.00
Soriana,"16c95064-14e7-474b-9fb7-d5f9961a36d7","7500326710629",Mezcal Mitre Ancestral Destilado 750 ml,"","$1,225.00",$0.00
Soriana,"113d3d2e-0c69-4e64-a45c-a7448a7ce66f","7500525042804",Loción Pro Selection Corporal Tropic Mango Fragancia Corporal 60 ml,"",$24.50,$0.00
Soriana,ec528258-9da1-4315-bdf0-d6e58b52396e,"0848177002904",Ventilador de Techo 54 plg 3 Aspas Artfan V4399-1 Metal,"","$2,499.00",$0.00
Soriana,"30b51046-f459-4dc8-be38-144c30420f62","7503009302340",Cerveza Artesanal Minerva Lager Light Botella de 355 ml,"",$41.90,$0.00
Soriana,d402c29a-eaea-4538-9aa4-c1ddfd3d7b61,"7503018154039",Cerveza Bocanegra Dunkel Weizen Botella de 355 ml,"",$30.00,$0.00
Soriana,"41d25b8f-1831-4889-a59b-209c8b5c2015","7500525520210",Ventilador de Piso Master Craft EB53061 Blanco 9 Pulg,"",$249.90,$0.00
Soriana,"4150e343-a04f-4a1a-9b02-12fa0211c713","7501518476651",Queso Americano Tres Castillos 136 g,"",$13.90,$0.00
Soriana,"252edb94-3f28-4efb-a95d-f8af2d6fa13b","0085156875009",Vodka Ketel One Botanical Pepino &amp; Ment,"",$471.00,$0.00
Soriana,"158c5aea-47c7-4fb2-be3f-5292e80fcf1a","7500525079756",Almendra Entera Precíssimo Natural 60 g,"",$34.50,$0.00
Soriana,eed8ea58-01d2-4939-8d41-f575b5ed687f,"5900685005725",Vodka Wyborowa 1 L,"",$235.00,$0.00
Soriana,"7562eef8-7a37-4d82-a1a2-93a5bfdb1831","8410779048301",Nenuco Muñeca Juguetes Famosa Nenuco Mus,"",$369.00,$0.00
Soriana,"38940553-c506-447e-9c32-48178048cc92","7501055311309",envase Ciel Gar 20lt,"",$52.00,$0.00
