"store","id","original_ean","original_name","original_description","current_price","promo_price"
aurrera,"8df0f6ab-710b-4fd4-b48f-6b8b3732c5c2","7500564261334",Playera Polo Simply Basic  Talla G Manga Corta Lisa Cuello de 3 Botones Azul Marino,"Descubre la perfecta combinación de estilo y confort con nuestra Playera Polo Simply Basic. Disponible en talla G y en un sofisticado tono azul marino, esta prenda redefine la elegancia casual.  - Agrega un toque de distinción a tu atuendo con el cuello plano de punto acanalado, que proporciona un estilo clásico y atractivo. - Experimenta la suavidad y la adaptabilidad gracias a los tejidos de alta calidad que brindan un ajuste cómodo y favorecedor. - La solapa frontal con botones añade un elemento de sofisticación, permitiéndote personalizar tu estilo y mantenerte fresco con facilidad. - Fabricada con tejidos suaves y transpirables, esta playera asegura comodidad durante todo el día, adaptándose a tu ritmo de vida.  Elige la talla chica y sumérgete en la elegancia del azul marino. Haz clic ahora y eleva tu guardarropa con la Playera Polo Simply Basic. Experimenta la perfecta armonía entre moda y comodidad.  Compra ropa para caballero en Despensa Bodega Aurrera en línea, tenemos los mejores artículos como pantalones, chalecos y más con envío a domicilio; pídelo desde la comodidad de tu hogar. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Tacto suave y cómoda,3 botones en cuello,Manga corta Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$169.00,$169.00
aurrera,"86872f19-756d-4a90-af93-98e21b5863f4","194422139322",Pantalón Fuit Of The Loom  Talla EG Tipo Jogger Café Claro,"Disfruta de la comodidad del pantalón deportivo jogger para dama de la marca Fruit of the Loom - Máxima Comodidad - Textura Suave y cómoda  - Ajustable de la Cintura - Cordones en la cintura - Encuentra los diferentes colores que tenemos para ti.  Recuerda que ya puedes realizar tus compras en nuestra tienda en línea, donde encontrarás todo lo necesario para tu día a día. Compra lo que necesites y recíbelo hasta la puerta de tu casa, pues contamos con nuestro servicio de entregas a domicilio.Diseño básico,Bolsas en costados,Tacto suave,Ajustable a tu figura,dos bolsas laterales,Cómoda cintura elástica con costuras reforzadas,Parte inferior con puños para un look relajado pero moderno,Etiqueta estampada para mayor comodidad,Ideal para el gimnasio, yoga, correr, caminar, senderismo, tenis, baile, crossfit, deportes, y mucho más, estas bonitas camisetas son perfectas para cualquier ejercicio o actividad. Son ideales no solo para un estilo de vida activo, sino también para uso diario. Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$159.00,$159.00
aurrera,"6e9d4d47-a347-4545-8f3d-9a37b61fc12a","41554433470",Base de maquillaje Maybelline New York Fit Me! matte + poreless 220 natural beige 30 ml,"Cobertura total,Acabado uniforme,Fácil de aplicar,Práctico de llevar en tu bolsa",$229.00,$229.00
aurrera,"5df023d1-08d8-49f3-a42e-b75c2f0760c9","619470637557",Peluche de San Valentín Way to Celebrate  Koala con Corazón 18 cm Morado,"Sorprende a tu pareja este Día de los enamorados con este tierno Peluche de Way to Celebrate. Será el detalle perfecto si buscas un regalo para tus seres queridos, para tus amigos o esa persona tan especial para ti. Celebra el Día del Amor y la Amistad y haz del 14 de febrero una fecha inolvidable con toda la gama de productos que tenemos para ti.  Haz tu pedido, prográmalo y recíbelo en casa o recógelo en tienda. Contamos con distintas formas de pago para que elijas la que más te convenga.El regalo perfecto,La mejor opción para festivales,Edades 3+ Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: 30 días en tienda. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$84.00,$84.00
aurrera,"0c66f2a9-8f71-4828-811d-3654c55643dc","7506470270309","Tines Wilson  para Mujer, Negro Varios Colores 5 Piezas Unitalla","Dales a tus pies la comodidad y el confort que necesitan para rendir todo el día con el tin de la marca Wilson. Tus pies hacen mucho por ti, así que cuídalos y consiéntelos.   - Detalles a contraste - Ideal para ti - Tacto suave  Nota: Este producto cuenta con variedad de colores, el envío está sujeto a disponibilidad en piso de venta.  Compra este y más artículos en nuestra tienda en línea y descubre el amplio catálogo que tenemos disponible para ti. Contamos con envío a domicilio y distintas formas de pago.Sin felpa,Comodidad,Durabilidad Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$99.00,$99.00
aurrera,f845f178-ed46-45b5-9ece-e0e6aba6129e,"7501022182796",Jabón de tocador Grisi  neutro 3 barras de 150 g c/u,"El jabón neutro de Grisi limpia, suaviza y cuida la piel sin irritarla gracias a que no contiene fragancia y al ser hipoalergénico es ideal para usar por toda la familia.  - Agradable aroma - Uso personal - Uso diario  Haz tus compras sin salir de casa entrando a tu tienda en línea y disfruta una gran variedad de artículos de higiene y belleza personal. Recuerda que contamos con diferentes formas de pago.Ideal para el aseo diario,Indispensable en tu rutina,Protege tu piel",$64.00,$49.00
aurrera,edec803f-77b9-45ab-95b3-890a05e8cd4f,"888182408902",Cartucho de Tinta HP  662 Ink Advantage Negro,"Imprime de manera sencilla con este cartucho de la marca HP 662  • Ofrece precisión al imprimir, dándote la confianza de un acabado de alta calidad. • El color de la tinta es negro. • Ideal para tus impresoras de la línea. • Fácil de instalar y de retirar.  Aprovecha la gran calidad de la tinta de este cartucho.Precisa,Confiable,Hasta 3 veces más páginas Sólo aplica para productos vendidos por Walmart/Bodega Aurrera:    Directamente con Proveedor  Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$289.00,$289.00
aurrera,aabe937c-71ee-4645-b116-9d25c3469978,"195511056056",Peluche Dálmata Way to Celebrate  Acostado Multicolor 25 cm,"En tu tienda en línea encontrarás una gran variedad de artículos para la temporada, decoración con tus personajes favoritos y miles de opciones más para la casa, oficina o cualquier lugar que desees, encuentra la mejor opción.   Recuerda que ya puedes realizar compras online de éste y otros productos en donde encontrarás lo necesario para tu día a día. Compra lo que necesites ya que, con nuestro servicio de entregas a domicilio, tus compras llegarán hasta la puerta de tu hogar.Confeccionado con una tela de felpa suave para abrazos extra suaves,Perfecto para regalar con rosas o chocolates,a Partir de 3 años en adelante",$89.00,$89.00
aurrera,cfca47fe-5544-49dc-b0dd-b2475fd23ce4,"7502257605586",Bouquet de rosas   12 tallos,"Regala o decora tu hogar con este arreglo de rosas de 12 tallos.   - El color puede variar según temporada y disponibilidad en tienda - No las exponga a los rayos directos del sol ni las exponga a corrientes fuertes de aire - Conserva a temperatura entre 15 ° a  29 °C - Riega 1 vez por semana - No colocar cerca de aire acondicionado o calefacción   Regala a esa persona especial este bouquet. Cómpralas con tan solo un clic en tu tienda en línea ¡Hacemos el súper por ti!Ideal para decorar tu hogar,Para esa ocasión especial,Aroma natural",$145.00,$145.00
aurrera,da09df3d-56fa-4e20-bac9-9bd6e284d1ea,"7500564337008","Playera Simply Basic  Talla  M Cuello Redondo Estampada  Flores ""Make Life Better"" Blanco","¡No te pierdas esta increíble playera Simply Basic para dama! Disponible en talla M y un elegante color blanco, esta playera es una adición imprescindible para tu armario.  - Fabricada con material de secado rápido, esta playera te mantiene fresca y cómoda incluso en los días más calurosos. - Con cuello redondo y mangas cortas, esta playera ofrece un ajuste clásico y cómodo que es perfecto para cualquier ocasión. - Hecha con telas suaves al tacto, esta playera proporciona una sensación de comodidad y confort durante todo el día. - Con un estampado inspirador que dice  Make Life Better , esta playera añade un toque de positividad a tu estilo diario.  ¡No esperes más para mejorar tu armario con esta fabulosa playera! Adquiérela ahora y lleva contigo un mensaje de optimismo y estilo.  Compra ropa para dama en Despensa Bodega Aurrera en línea, tenemos los mejores artículos como pantalones, sudaderas y más con envío a domicilio; pídelo desde la comodidad de tu hogar. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Suavidad al tacto,Cuello redondo y manga corta,Agradable estampado Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$115.00,$115.00
