"store","id","original_ean","original_name","original_description","current_price","promo_price"
Sams,"7f81e942-f2a2-400a-846d-278ebf352cfc","",Fragancia Mon Guerlain para Dama 100 ml,"","$1,707.38","$1,451.28"
Sams,a00dcb8c-2ce9-423c-b6c3-81fa0e484567,"05351086",Cereal Granvita Granola sin Azúcar 1.2 kg,"",$121.73,$121.73
Sams,af9830f4-4c18-4dea-b307-997d20e9bc64,"",Juego de Vasos  Member's Mark con 12 pzas,"",$459.31,$459.31
Sams,b1e1bc77-ca40-477c-ae70-ba1aa733ce47,"",Perfume Mont Blanc Lady Emblem para Dama 75 ml,"","$1,359.55","$1,042.59"
Sams,"7f0af83d-5db3-4fb6-9387-028e33754d68","",Vajilla Crown Baccara KLASSIKER+ Cuadrada con 20 pzas,"",$919.67,$919.67
Sams,"07c37bd7-04a6-4d55-987e-cb6f2702052d","750053300253",Café Espresso Member's Mark 1 kg,"",$250.63,$183.22
Sams,"88645506-16c2-4b1d-94f7-c865798c795c","",Alimento Seco para Perro Purina Dog Chow Adultos Minis y Pequeños 10 kg,"",$510.47,$510.47
Sams,eb114995-0d20-4930-b8af-0222ac646411,"",Escritorio Maderkit Shelf Beige,"","$1,502.77","$1,502.77"
Sams,"5f8d8d2d-ef0d-4c4e-a65e-80d961253a6f","","Backpack Nautica Portalaptop de 15"" Marino","",$805.50,$805.50
Sams,"6af3de35-4d53-4b1e-a890-a7d5b3022889","",Bóxer para Caballero Member's Mark Talla M Gris/Azul 5 pzas,"",$357.01,$357.01
Sams,a9df58d3-a047-4c26-806d-bf6f531de892,"",Cortinas Bloqueadoras de Luz Member's Mark Café,"",$612.76,$612.76
Sams,"2f8eb6ad-3e8b-4cf4-b7b1-9b845a8c6858","750105862527",Alimento para Niños Nido Kinder 1+ Deslactosado 2.2 kg,"",$419.43,$419.43
Sams,"7e130579-29ad-406a-906a-2cdb86bd1a33","",Sala Seccional Anffer IBBI Contemporánea Gris,"","$18,402.73","$18,402.73"
Sams,"99eec99e-962e-4538-8962-1d306e743305","539118920085",Coversam 5 mg/5 mg 30 Comprimidos,"",$761.11,$761.11
Sams,adf54b7d-2d49-408f-bad0-2907f7fc7551,"",Cobertizo de Jardín Keter Oakland Gris 2.3 m x 2.4 m,"","$38,872.96","$34,101.34"
Sams,"00b7aed6-db90-4b5f-8fdc-e6da468e1897","750644310408",Yoghurt Bebible Danone Fresa y Moras 12 piezas de 220 g,"",$117.64,$117.64
Sams,f1eaf644-89db-485d-83a2-8b24cee69c59,"",Sudadera para Caballero Kappa Talla G Azul,"",$919.67,$919.67
Sams,"9cb14629-e964-4406-a138-079a2230c074","",Juego de Cubiertos Ornative de Acero Inoxidable Dorado con 20 pzas,"",$612.76,$612.76
Sams,e8d1b284-9f49-4d5d-9b4a-c3ed4a75325e,"07027",Perfume Emporio Armani Giorgio Armani para Dama 100 ml,"","$1,707.38","$1,707.38"
Sams,a4cb49a5-c797-42ba-b1fa-b69f3d61b0a1,"",Bermuda para Caballero Member's Mark Talla 32 Marino,"",$305.86,$305.86
Sams,d1e9802a-0fae-42de-9773-3ad9b411b390,"",Vajilla de Cerámica Member's Mark Mate Menta 12 pzas,"",$919.67,$919.67
Sams,"11a6b37d-19e7-43c5-860e-7aa504cb6f1b","",Máquina de Café Daewoo Espresso/Capuchino/Latte 15 Bar,"","$2,147.26","$2,147.26"
Sams,"6bff127f-e322-4ce4-9ecb-85c70834893b","",Tabletas QG5 GENOPRAZOL 2 pack con 30 pzas c/u,"",$429.66,$429.66
